id	name	description
37	ふたりはなかよし	"A set of images I found on Pixiv, they are drawn by an artist named Furry, yes, really.

You can find his profile here: http://www.pixiv.net/member.php?id=376555"
140	Tails_and_Mom	
200	Jay_Naylor_-_The_Better_Mousetrap	
208	Espeon_and_Pidgeot_(translated)	"By Mikazuki Karasu
Translated by ""MB"" at the AGNPH imageboard (currently defunct).

Original version: https://e621.net/pool/show/982"
233	No_Remorse	
235	Radille,_by_Fred_Perry	"A Final Fantasy XI comic by Fred Perry, featuring characters of his webcomic ""Level-up""."
567	Grown-Up_Wendy	
661	Hangover	
882	I,_Werewolf...?	A man transforms into a Wilford-esque werewolf under a full moon. Created by Black-Rat.
914	MLP:_Time_Off_by_Exploding_Guy	"The ""Time Off"" series of Comics by [[Exploding guy]]"
933	The_Internship_Vol._1	"Volume 1 of The Internship, by {{Jackaloo}}.

h5. The Internship:
* Volumes:
** Volume 1: you are here
** ""Volume 2"":/pools/13890
** ""Volume 3"":/pools/20420
** ""Volume 4"":/pools/32083
* ""Full Series"":/pools/35939
* Side comics:
** ""Summers Gone"":/pools/13092
** ""Falling Flat"":/pools/16422
** ""Winter Blossoms"":/pools/25947
** ""The Gardener"":/pools/29589"
1094	Ask_Princess_Molestia	"Series by John Joseco

http://askprincessmolestia.tumblr.com/"
1113	Kadath_-_Boob_Job	"Colored: pool #17011
"
1169	Gator_Brothers:_Havin'_Fun_with_Ol'_Sis	The Gator Brothers 'playing' with their sister.
1357	[Kondere]tion_(Shirokoma)	"Feral/cub manga

See pool #2139 for the completed version (Japanese)"
1500	MLP:_Deep_Down_Under	
1501	Huskied!	By Aggrobadger.
1535	Squeak_the_Mouse_Part_IV_in:_Magma	
1574	Training_Taylor	
1710	Whorseong_Gulp	A short comic by Shia featuring the World of Warcraft Battleground Warsong Gulch.
1724	Teenluma_the_Dog_Wanderer	Short comic by teenluma.  Contains bestiality.
1847	MLP:_Cider_Showers_	"Comic by ""kyokimute"":http://www.furaffinity.net/user/kyokimute/
Colour comic ""here"":http://e621.net/pool/show/2083"
1848	bursting_whore	Whore gets cum inflated and bursts afterwards.
1928	Dressed_For_The_Occasion	
1962	Some_Good_Time	Featuring Jess and Werefox. By CandyKittyCat.
2255	Too_Much_to_Handle	Sequel to Kadath's A Helping Hand. Enjoy!
2425	Cave_Vore	A border collie is devoured whole by a large dragon in a cave.
2490	Bowser_Comic	Japanese, adult, cub
2569	MLP:_Ponilove_Surprise_Series	A series of images by Ponilove in celebration of Willdrawforfood1's birthday.
2748	Trouble:_The_Final_Chapter	
2755	Margie_Masturbation	"A 3-part series of Margie from Animal Crossing giver herself some ""me time""."
2897	Ask_Amanda_At_Work	
2900	MLP:_Night_Shifts	"Comic by ""Tiarawhy"":tiarawhynot.tumblr.com and ""Dooks."":do0ks.tumblr.com"
2901	A_Captain's_Reward	
2944	The_All_Blue_Affair	
2990	A_Thousand_Years_Since_Yesterday	
2998	Lovers	An original comic from Palcomix.com
3014	Braviary_of_Doooom!	A novice Pokemon trainer is transformed into a Braviary after attempting to capture a Pikachu with one of his homemade Pokeballs. Created by Black-Rat (Keanon Woods) in July-August, 2013.
3083	Gamer_Girl	
3160	Horns_Of_Baphomet_-_by_Tharakaos	
3204	Ask_Scissor_Twilight	"Pool for the funny-but-horrifying ""scissortwilight"":http://askscissortwilight.tumblr.com/ blog drawn by {{iopichio}}."
3263	Werewolf_in_the_Navy	
3278	Artistic_Discipline	"""A little PMDE-related comic about training, dominance, and Sandshrew abuse starring the lovely Master Easel and his students."""
3390	Let's_Pari_Pari	Bowser x Bearmon, gay explicit
3561	How_an_eevee_earns_a_thunderstone	"Commissioned by Level000/Kiba Kurokage, from the artist Candyfoxy, it follows the short journey of an eevee trying to find a thunderstone, getting ""tested"" by a series of eeveelutions before earning the stone."
3789	Furryrevolution:_Greek_Traditions	
3844	Serena_and_Froakie	
3939	Where_a_Popsicle_Can_Lead	Released: Some time before 03-04-2013
4018	Blotch:_Out_of_Position_Series	
4043	Untitled_	http://www.pixiv.net/member_illust.php?mode=medium&illust_id=15323779
4076	Blotch:_Steppe_in_the_Right_Direction_(Sketch_Ver)	comic by Blotch
4081	Eros_(Webcomic)	"A Brand new webcomic that is growing by the month from the artist Fatalfox. Support the comic and wish it a lengthy and popular life, enjoy!

~Blackphantom770

This Tumblr account has now been dedicated to housing Eros comic updates, so while the Hub for my art is now at www.cobaltsnow.squarespace.com I want to utilize Tumblr’s simple posting and sharing (and community) capabilities to help Eros grow as an independent web comic.

Updates will begin shortly, and will most likely speed up when I have a little more time on my hands. As some of you who pay attention to my more prominent blog will most likely know that I am in the middle of a transition period at the moment (a little hard to explain) the point is that I’ll get a lot more free time on my hands in a short time, and you’ll see a lot more from me ^^

Praise Eros.

-Aleks

http://eroscomic.tumblr.com/archive"
4149	MLP:_KaaxPinkie_Pie_Comic	
4188	The_Resonance	A very nice crossover from maggotscookie's previous works.
4246	A_man_of_valor_is_a_man	
4354	Rokiloki_-_Bukkake_Domination	"Drawn by Rokiloki (r-r-r) on FA. http://www.furaffinity.net/user/r-r-r/
Comic was uploaded on his tumblr. http://laser-request.tumblr.com/"
4476	A_Zippity_Do_Dah_Day	"Drawn by Pulsar.
http://www.furaffinity.net/user/pulsar/
https://www.weasyl.com/~pulsar"
4539	"""Amaterasu's_breast_consultation""_(Okiyo)"	Amerterasu doujin by [[okiyo|Okiyo]], [[kitsnenone|Kitsunenone]]
4671	Kicktyan_-_Greninja_x_Charizard_Comic	Will be updated as more pages are made/colored.
4694	A_Girl_And_Her_Dragon	
4699	Kaittiolu	
4825	Bomb:_M_Sometimes_S	
4827	Lucario's_Public_Examination_by_dogear218	
4856	Softpaw_Oasis	
5008	New_Employee_(Tiger_TF_TG)	6-page comic by Aakashi.
5020	MLP:_Everything_That_Glitters...	
5026	Shea_&_the_Purple_Goo	
5231	Drive_day_is_a_very_dangerous_day	
5263	Let's_Experiment!_(youna)	
10409	Judy_finds_Nick_by_Ahiru621	
14400	Spike_and_Fizzle	"Male/male 
By roy_arashi"
