user,post,is_like
1097336,51116,f
1462319,51116,t
219916,51116,f
26146,51116,f
3393,51116,f
480312,51116,t
773023,51116,t
924711,51116,f
97645,51116,t
981975,51116,f
105471,51115,f
115681,51115,f
13945,51115,f
1444954,51115,f
145596,51115,t
187929,51115,t
212100,51115,t
267587,51115,f
271474,51115,t
28445,51115,f
442390,51115,f
50500,51115,f
525582,51115,t
527790,51115,t
791972,51115,t
808830,51115,f
88000,51115,t
11756,44641,t
155147,44641,f
19086,44641,t
242809,44641,t
268782,44641,t
283058,44641,t
311345,44641,t
396465,44641,f
400042,44641,t
435197,44641,t
43898,44641,t
478640,44641,t
48819,44641,f
510561,44641,f
513425,44641,t
570816,44641,t
828377,44641,f
870139,44641,t
996864,44641,t
1214460,10809,f
1265919,10809,t
135792,10809,f
1360403,10809,f
142593,10809,f
186419,10809,f
212835,10809,f
239967,10809,f
272100,10809,t
285722,10809,t
320188,10809,f
348096,10809,t
383363,10809,f
408296,10809,f
523585,10809,f
596027,10809,f
6349,10809,f
71187,10809,f
9442,10809,t
10747,7626,f
110853,7626,f
161762,7626,f
16396,7626,f
1655051,7626,f
1696983,7626,f
1714602,7626,f
2055,7626,f
216261,7626,f
27064,7626,f
282481,7626,f
296283,7626,f
296313,7626,f
376604,7626,f
402737,7626,f
403408,7626,f
423322,7626,f
453553,7626,f
469557,7626,f
526408,7626,f
54783,7626,f
844501,7626,f
105009,6301,t
1083611,6301,t
1123336,6301,t
135069,6301,t
1441726,6301,f
148142,6301,t
1592012,6301,t
206984,6301,t
244881,6301,f
26745,6301,t
268883,6301,t
269118,6301,f
272093,6301,t
313597,6301,t
326487,6301,f
406912,6301,f
417830,6301,f
517773,6301,t
52307,6301,t
647610,6301,f
685629,6301,f
84192,6301,t
883186,6301,t
901021,6301,t
97645,6301,f
993958,6301,t
1117834,6157,f
128012,6157,t
1339848,6157,t
134482,6157,f
1412015,6157,f
1445227,6157,t
155479,6157,f
1813964,6157,t
183206,6157,f
195644,6157,f
245726,6157,t
254986,6157,t
303217,6157,t
304468,6157,t
308033,6157,t
335518,6157,f
345160,6157,t
350753,6157,t
352523,6157,t
385700,6157,t
408941,6157,t
41622,6157,t
447323,6157,f
500477,6157,t
608317,6157,t
729630,6157,f
855064,6157,f
869371,6157,f
970379,6157,f
125261,6155,f
141580,6155,f
22083,6155,f
233041,6155,f
400440,6155,f
421360,6155,f
56513,6155,t
625037,6155,t
84021,6155,f
842093,6155,f
109664,6153,f
1242310,6153,f
1557949,6153,f
168715,6153,t
235698,6153,f
241680,6153,t
396350,6153,t
494004,6153,t
51932,6153,f
772283,6153,f
893217,6153,t
944377,6153,t
1193804,6151,t
1212646,6151,f
135258,6151,t
142382,6151,t
1433672,6151,f
225643,6151,f
246546,6151,t
251878,6151,t
280736,6151,f
282866,6151,f
324447,6151,t
388007,6151,f
436017,6151,t
453661,6151,f
469557,6151,t
570394,6151,f
60611,6151,f
626346,6151,f
809675,6151,t
812740,6151,f
91974,6151,t
999989,6151,t
1007421,6150,f
1176672,6150,f
1202938,6150,f
1251963,6150,f
