assisted_bathing,When one character is [[bathing]] another.
wall_press,"A character pressing their hands, feet, or body firmly against a wall. For tagging purposes just passively leaning against a wall should not be enough to use this tag, but being pushed against a wall is a valid usage.

h4. Related tags

* [[against_wall]]
* [[wall_(structure)]]"
dragerys_kholodno,"Transmorph intersex ice dragon, that can changes its gender, genitals and form as it wish, dragerys_kholodno is the gynomorph 'girl' form."
anput,"[B]Anput[/B] (alternatively, Anupet, Input, Inpewt, and Yineput) is an [[egyptian_mythology|Ancient Egyptian]] [[deity]], the wife and/or [[crossgender|female counterpart]] to [[Anubis]] and mother of [[Kebechet]]. (Her name is literally the feminine form of Anubis' original Egyptian name, [i]Anpu[/i]/[i]Inpu[/i] + [i]t[/i].)

The patron god of the seventeenth [i]nome[/i] (district) of Upper Egypt, Anput is likewise the guardian of Osiris' body, and features in a statue triad of the Pharaoh Menkaure alongside [[Hathor]]. She is commonly depicted as a pregnant or nursing [[jackal]], a jackal wielding knives, or a woman whose headdress bears a jackal recumbent on a feather; unlike Anubis, traditional depictions of Anput as a [[anthro|jackal-headed woman]] are rare.

h4. See also
* [[Anubis]]
* [[Kebechet]], her daughter"
tears_of_the_kingdom,"The sequel to [[The Legend of Zelda]]: [[Breath of the Wild]], released on May 12, 2023."
ian_(forestpuppy),ian_(forestpuppy)
my_little_pony:_the_movie_(1986),"[b]My Little Pony: The Movie[/b] is a Generation 1 movie that debuted on August 6th 1986. Many of the characters were reused in the following animated series [[My Little Pony 'n Friends]].

h4. Characters (Incomplete)

* [[Buttons (mlpnf)]]
* [[magic_star_(mlp)|Magic Star]]
* [[wind_whistler_(pre-g4)|Wind Whistler]]

h4. External links

* http://mylittlewiki.org/wiki/My_Little_Pony:_The_Movie


h4. See Also:
* [b][[My Little Pony]][/b]
** [b]My Little Pony: The Movie (1986)[/b]
** [[My Little Pony 'n Friends]]
** [[My Little Pony Tales]]
** [[My Little Pony (2003)]]
** [[My Little Pony (2009)]] 
** [[friendship is magic|My Little Pony: Friendship is Magic]]
*** [[My Little Pony: The Movie (2017)]]
*** [[Equestria Girls]]
** [[mlp_g5|My Little Pony ""5th Generation""]]"
oodlesofowls,"""Deviantart"":http://key2immortality.deviantart.com"
hm3526,Posts uncensored versions on Twitter.
yellow_inner_pussy,"thumb #2139245

This refers to the fleshy region that makes up the inner part of a [[pussy]] that is the color yellow.

[section,expanded=Anatomy included]

Representations of flesh may also be tagged as [[yellow_flesh]].

* [[Clitoris]] - More specially [[yellow_clitoris]]
* Labia minora (inner labia) - The labia folds that occupy the space in between the labia majora (outer labia) in a [[humanoid pussy]].
** An [[equine pussy]] also features an inner labia, but it is not always drawn as distinct from the outer labia.

Sometimes the inner part of the outer labia will show a flesh color to establish the inner region. This color is likely safe to treat as an inner region color.

h6. Internal anatomy (vagina, reproductive organs)

Flesh that is part of internal anatomy structures

For tagging purposes, the surface of the vaginal canal should not use flesh color tags. If possible to distinguish, the region inside the vaginal canal is probably best to be treated as a separate region to the inner pussy. Even though the clitoris may sometime extend from this anatomy, it probably makes sense to include it as part of the inner pussy in most cases.

[u]Consider using the following tags to describe internal regions:[/u]

* [[yellow_insides]] - This refers to any internal region of the body, including the vaginal canal.
* [[yellow_vaginal_canal]] - This tag could exist as an alternative to describing the vaginal canal color with the more flesh-focused inner pussy color tags.

The color of the inner pussy may be the same color as the vaginal canal. In such a case, the color tags for both regions are applicable.

[/section]

h4. Not to be confused with

* [[innie_pussy]]

h4. See also

* [[pussy]]
** [[yellow_clitoris]]
** [[yellow_pussy]]

[section,expanded=Other inner pussy colors]

* [[black_inner_pussy]]
* [[blue_inner_pussy]]
* [[brown_inner_pussy]]
* [[green_inner_pussy]]
* [[grey_inner_pussy]]
* [[orange_inner_pussy]]
* [[pink_inner_pussy]]
* [[purple_inner_pussy]]
* [[red_inner_pussy]]
* [[tan_inner_pussy]]
* [[teal_inner_pussy]]
* [[white_inner_pussy]]
* [b]yellow_inner_pussy[/b]

* [[multicolored_inner_pussy]]
** [[multi_tone_inner_pussy]] - Three or more distinct colors
*** [[rainbow_inner_pussy]]
** [[two_tone_inner_pussy]] - Exactly two distinct colors

[/section]"
cable_tail,"A [[tail]] composed of [[cable]] — either the sort that carries electrical signals or wire rope — often ending in a plug or other connector, or sometimes in an attached tool or weapon.


h4. See also

* [[mechanical tail]]"
sparkothefailure,Humh
the_buzz_on_maggie,"Maggie Pesky is an unusual young teen fly with big dreams, and this series is from her point of view. Set in the fly metropolis of Stickyfeet, Maggie gets the community's attention with her antics in a conventional world of upstanding flies. Maggie is always plotting to make even mundane tasks fun and exciting. Maggie's best friend, Rayna Cartflight, thinks Maggie's crazy schemes usually cross the line. Maggie's parents are Chauncey and Frieda Pesky. Dawn Swatworthy is Maggie's rival, a snobby girl."
grimalkyne,"The third type of feline Lynian, introduced in Monster Hunter: World.

h4. See also

* [[airou]]
* [[mammal]]
** [[felid]]
*** [[felyne]]
*** [[melynx]]
*** [b]grimalkyne[/b]
** [[canid]]
*** [[palamute]]"
testicle_breasts,"When a character's [[breasts]] are replaced with [[balls]].

If the body parts in question are shared between multiple people (acting as balls for one character and breasts for another character) then both [[breast_balls]] and testicle_breasts may apply.

h5. Not to be confused with:
* [[breast_balls]] (when a character's balls have nipples or are replaced with breasts)

h5. Also see:
* [[dickhead]]
* [[crotch_head]]
* [[dicknipple_balls]]
* [[unusual_anatomy]]
** [[unusual_balls_placement]]"
mouse,"thumb #1025784

Mice are small [[murine]] mammals belonging to Rodentia, the order of rodents. The best known mouse species is the common house mouse ([i]Mus musculus[/i]).  Domestic mice are also popular pets.

For the sake of structuring, this tag is used in equivalence to the [i]Mus[/i] genus and should therefore be used only for old-world mice in this genus, such as the house mouse.  New-world mice, or other small animals commonly known as mice, should not get this tag.

This tag should not be confused with [[computer_mouse]], which is something else entirely.

h4. Species:
* [[murid]]
** [[murinae]] (old-world rats and mice)
*** [[mouse]] ([i]Mus[/i])
**** [[house_mouse]]
**** [[fancy_mouse]] (domestic mouse)

h4. More information:
https://en.wikipedia.org/wiki/Mus_(genus)"
warg,"A species of [[mythological creature]] appearing in old Norse mythology, depicted as a [[wolf]]-like creature that is large and strong enough to be ridden."
kid_icarus,"Kid Icarus[a] is a franchise of fantasy video games by [[Nintendo]]. The games are set in a fantasy world based on classical antiquity and [[Greek mythology]], called ""Angel Land"". The gameplay consists of a mixture of action, adventure and platform elements. The Kid Icarus franchise is known as a cult classic and a sibling series to the [[Metroid]] franchise.

The first installment, Kid Icarus, was released in 1986 for the [[Nintendo Entertainment System]] and was received to critical acclaim despite poor sales. A sequel, Kid Icarus: Of Myths and Monsters was later released for the Game Boy. On June 15, 2010, at their E3 conference, Nintendo announced [[Kid Icarus: Uprising]] on [[Nintendo 3DS]], thus reviving the franchise after a 20-year hiatus."
dominik_(lipton),"[b]Dominik[/b] is a [[fox]] character belonging to ""Lipton"":https://furaffinity.net/user/lipton.

h4.External links
* ""FurAffinity folder"":https://www.furaffinity.net/gallery/lipton/folder/2725/Dominik
* ""Clothing reference"":https://www.furaffinity.net/view/18392412/"
tan_hoodie,"Self-explanatory, tag when an image contains a [[hoodie]] in the color tan.

h4. Colors:
* [[black_hoodie]]
* [[blue_hoodie]]
* [[brown_hoodie]]
* [[green_hoodie]]
* [[grey_hoodie]]
* [[orange_hoodie]]
* [[pink_hoodie]]
* [[purple_hoodie]]
* [[red_hoodie]]
* [b]tan_hoodie[/b]
* [[white_hoodie]]
* [[yellow_hoodie]]

h4. See also
* [[topwear]]
** [[tan_topwear]]"
chris_dunn,A painter and illustrator who draws in a [[realistic]] style and favors the [[victorian]] era setting.
ghostiefur,"That’s my username, don’t wear it out."
antonn,"h4. External links:

* ""Turianmerc98"":https://www.furaffinity.net/user/turianmerc98 on FurAffinity"
ravoilie,"Artist

* ""Patreon"":https://www.patreon.com/Ravoilie
""Devinatart"":https://www.deviantart.com/ravoilie
""Furaffinity"":https://www.furaffinity.net/user/ravoilie
""Tumblr"":https://ravoilie-blahblah.tumblr.com/"
vksuika,"[[conditional_dnp]]: only the artist is allowed to post

Discord
frufrutoffee#7317
"
filipino_text,A tag given to posts that contain text written in Filipino.
soy_sauce,"Soy sauce is a liquid condiment of Chinese origin, traditionally made from a fermented paste of soybeans, roasted grain, brine, and Aspergillus oryzae or Aspergillus sojae molds."
dark_nek0gami,Furry Artist
monorump,"is when the rear is ill-defined, like a bubble instead of butt cheeks"
azu_(azu2178),"An [[Avali]] character with [[red_feathers|red]], [[yellow_feathers|yellow]], and [[black feathers]] owned by Azu#2178 on Discord."
paul_mccartney,"[b]Sir James Paul McCartney[/b] CH MBE (born 18 June 1942) is an English singer, songwriter, musician, composer, and record and film producer who gained worldwide fame as co-lead vocalist and bassist for [[the Beatles]]. His songwriting partnership with [[John Lennon]] remains the most successful in history. After the group disbanded in 1970, he pursued a successful solo career and formed the band [[Wings]] with his first wife, [[Linda]], and [[Denny Laine]]."
intersex_on_top,"For posts in which an [[intersex]] character is [[on_top]] of another character.

h4. See Also:

* [b]Gender[/b]
** [[male_on_top]]
** [[female_on_top]]
** [[ambiguous_on_top]]
** intersex_on_top
*** [[andromorph_on_top]]
*** [[gynomorph_on_top]]
*** [[herm_on_top]]
*** [[maleherm_on_top]]

* [b]Size[/b]
** [[larger_on_top]]
** [[smaller_on_top]]"
vaginal_footjob,"Using a foot on another character's [[pussy]] for the purpose of sexual stimulation.

The female version of [[footjob]]."
lily_(jrodslammer),"https://www.furaffinity.net/user/jrodslammer/
https://www.furaffinity.net/view/44764088/
https://d.furaffinity.net/art/jrodslammer/1637779666/1637779666.jrodslammer_8c6cb335-afdc-428c-b246-12b1cfa11505.jpg"
labret_piercing,A single lip piercing between the bottom lip and the chin.
wanda_(the_queen's_corgi),"Wanda is a saluki dog in The Queen's Corgi. She is the deuteragonist of the movie and was voiced by Sheridan Smith.

Physical Appearance

Wanda is a shapely saluki with a shiny coat that is mostly brown with the exception of her belly, chest and muzzle, which are white. Her tail and ears have longer hair than the rest of her body and she has large brown and expressive eyes which she uses to help get what she wants
Personality

In the beginning, Wanda is seemingly focused on having an advantage towards a more comfortable living and using male dogs who can give her that advantage. Tyson gave her protection and dating him gave her a little more freedom than other dogs in the shelter. Later, she charms Rex in order to leave the shelter for ""velvet pillows"".

Wanda seems to change throughout the movie, forming a romantic interest with Rex and genuinely caring for his well being and happiness. "
